"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-11-01","93.8","-2.4598","5.4302","Yu Darvish",502210,506433,"field_out","hit_into_play",,,,,"8","Josh Reddick grounds out, second baseman Logan Forsythe to first baseman Cody Bellinger.  ","W","L","R","LAD","HOU","X","4","ground_ball",1,0,2017,"0.0796","1.6477","-0.0177","1.9702","435263.00","503556.00","null",0,2,"Top","140.86","170.34",,,605131,,"171102_010245",,,,,,,"3.3297","1.6528","null","82.9","-20.6990","94.0010","2256","6.3690",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.1309","0.075","0.069","0.00",1,0,0,2,14,"2"
"SL","2017-11-01","83.2","-2.5667","5.3451","Yu Darvish",502210,506433,"null","ball",,,,,"14","null","W","L","R","LAD","HOU","B","null","null",0,0,2017,"1.3411","0.6209","1.3137","1.8350","435263.00","503556.00","null",0,2,"Top","null","null",,,605131,,"171102_010222",,,,,,,"3.3704","1.6733","null","null","null","82.2500","2492","5.8050",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.6946","0.000","0.000","null","null","null","null","null",14,"1"
"FC","2017-11-01","88.8","-2.6059","5.2234","Yu Darvish",503556,506433,"double","hit_into_play_no_out",,,,,"8","Marwin Gonzalez doubles (2) on a line drive to right fielder Yasiel Puig.   Brian McCann to 3rd.  ","W","L","R","LAD","HOU","X","null","line_drive",2,1,2017,"0.5335","0.6986","0.2148","2.2990","null","null","435263.00",0,2,"Top","169.25","90.24",,,605131,,"171102_010054",,,,,,,"3.5696","1.7437","318","104.7","14.8230","88.5300","2587","5.8600",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.6400","0.668","0.765","1.25",1,1,1,5,13,"4"
"SL","2017-11-01","77.2","-2.2813","5.3808","Yu Darvish",503556,506433,"null","ball",,,,,"13","null","W","L","R","LAD","HOU","B","null","null",1,1,2017,"0.9027","-0.5635","-1.3142","2.2246","null","null","435263.00",0,2,"Top","null","null",,,605131,,"171102_005959",,,,,,,"3.6713","1.7847","null","null","null","76.2960","2488","5.8150",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.6844","0.000","0.000","null","null","null","null","null",13,"3"
"FF","2017-11-01","90.2","-2.5340","5.5482","Yu Darvish",503556,506433,"null","called_strike",,,,,"8","null","W","L","R","LAD","HOU","S","null","null",1,0,2017,"0.7083","1.5432","-0.2224","2.0952","null","null","435263.00",0,2,"Top","null","null",,,605131,,"171102_005927",,,,,,,"3.6605","1.7437","null","null","null","89.4050","2636","5.7600",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.7394","0.000","0.000","null","null","null","null","null",13,"2"
"FC","2017-11-01","88.9","-2.4441","5.4528","Yu Darvish",503556,506433,"null","ball",,,,,"14","null","W","L","R","LAD","HOU","B","null","null",0,0,2017,"1.1039","1.0660","1.0102","1.2574","null","null","435263.00",0,2,"Top","null","null",,,605131,,"171102_005842",,,,,,,"3.6098","1.7847","null","null","null","88.3370","2693","5.9130",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.5871","0.000","0.000","null","null","null","null","null",13,"1"
"FC","2017-11-01","89.3","-2.6364","5.0982","Yu Darvish",435263,506433,"walk","ball",,,,,"14","Brian McCann walks.  ","W","L","R","LAD","HOU","B","null","null",3,2,2017,"0.9157","0.2378","1.2171","2.0844","null","null","null",0,2,"Top","null","null",,,605131,,"171102_005802",,,,,,,"3.6144","1.8250","null","null","null","89.2640","2737","6.0730",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.4267","0.000","0.000","0.70",1,0,0,"null",12,"8"
"FF","2017-11-01","95.7","-2.4940","5.3324","Yu Darvish",435263,506433,"null","ball",,,,,"11","null","W","L","R","LAD","HOU","B","null","null",2,2,2017,"0.0028","1.5130","-1.3339","3.0052","null","null","null",0,2,"Top","null","null",,,605131,,"171102_005740",,,,,,,"3.4914","1.7429","null","null","null","95.9580","2475","6.3490",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.1510","0.000","0.000","null","null","null","null","null",12,"7"
"FC","2017-11-01","85.7","-2.6779","5.4260","Yu Darvish",435263,506433,"null","foul",,,,,"14","null","W","L","R","LAD","HOU","S","null","null",2,2,2017,"1.3820","0.9466","1.3925","2.1177","null","null","null",0,2,"Top","null","null",,,605131,,"171102_005710",,,,,,,"3.6252","1.7739","null","null","null","84.8170","2668","5.9150",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.5848","0.000","0.000","null","null","null","null","null",12,"6"
"SL","2017-11-01","82.3","-2.6426","5.1507","Yu Darvish",435263,506433,"null","foul",,,,,"5","null","W","L","R","LAD","HOU","S","null","null",2,2,2017,"1.9491","0.3357","0.1111","2.1947","null","null","null",0,2,"Top","null","null",,,605131,,"171102_005646",,,,,,,"3.3383","1.5894","104","56.0","68.7772","80.8660","2699","5.5760",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.9240","0.000","0.000","null","null","null","null",1,12,"5"
